id,tipo_rel,x_tsne,y_tsne,x_umap,y_umap,x_isomap,y_isomap,x_mds,y_mds,x_lle,y_lle
1101,Ato_Substituicao,-4.43084,-19.296537,5.121105194091797,-1.40952467918396,-0.889284981433179,0.5598451567550156,-0.5305549589191,2.237510887234123,0.05731818732096763,0.05302435279943976
1102,Ato_Substituicao,-4.7707486,-7.2824655,6.140577793121338,0.1958523392677307,-0.5472983514292908,0.6877260243220116,-0.4406917511286379,2.600025783734813,0.028910449316581585,0.021399844916852612
1103,Ato_Substituicao,-4.239378,-20.223291,4.949685096740723,-2.009636878967285,-1.0677886186479242,0.5501746022541024,-0.8458313849129125,2.5810542469960427,0.05731818732096766,0.0530243527994398
1104,Ato_Substituicao,-4.459635,-20.15956,5.313374996185303,-2.0425097942352295,-1.0694539643264487,0.5503746805804566,-0.8450634339250641,2.756395367791633,0.05731818732096763,0.05302435279943974
1105,Ato_Substituicao,-4.382301,-20.582485,5.200378894805908,-1.9929922819137573,-1.110149699937893,0.5588978632861484,-0.6764345383255251,2.47939209353277,0.057318187320967676,0.05302435279943981
1106,Ato_Substituicao,-5.9479795,-13.43747,5.258410930633545,1.5137003660202026,-0.5359520936921829,-0.03131966357584641,-0.5452152675311127,0.9374268295730148,0.004225589492960369,-0.004639850605018988
1107,Ato_Substituicao,-5.733938,-13.387278,4.5103583335876465,1.3113245964050293,-0.5477472637630021,-0.02859574537650721,-0.6884085874186676,1.7339375009605764,0.00422390291689758,-0.004645168381006981
1108,Ato_Substituicao,-5.816034,-13.449855,4.766534328460693,1.2367223501205444,-0.5453677920354294,-0.03349962389034623,-0.5924505913481101,1.209721436387489,0.004225445769168292,-0.004640355299683184
1109,Ato_Substituicao,-5.635226,-13.422252,4.651620864868164,1.0287268161773682,-0.5268670765123369,-0.0297638785107083,-0.552964495759421,1.6950170729409324,0.004221729155107883,-0.004651715507506539
1110,Ato_Substituicao,-3.7303505,-8.880401,6.2831621170043945,0.42096465826034546,-0.8810383129631478,0.7585641597721655,0.07299524657328856,1.6561712365230015,0.003597321581798656,-0.007569247876349548
1111,Ato_Substituicao,-3.4681962,-11.629387,4.961330890655518,0.323020339012146,-0.20962022784354212,-0.021357576960548408,-0.2891416417029654,1.2930360031276165,0.00396367150207547,-0.00338069635603829
1112,Ato_Substituicao,-3.4456227,-11.542874,4.729049205780029,0.37984126806259155,-0.2064365972580383,-0.011179827251851225,-0.023269559889842494,2.1522931026409724,0.00418002183825764,-0.0021388305374222087
1113,Ato_Substituicao,-10.052899,-17.497814,3.883868455886841,2.2733154296875,-0.5924383986655695,-0.2151828690302926,-0.2406091648168743,1.3786981832778193,0.004731841130619193,0.011126872331466038
1114,Ato_Substituicao,-10.648429,-15.634165,3.1726794242858887,3.097852945327759,2.318555143523945,-0.03197965940633927,-0.39465059977764355,0.8615583076966665,0.004732814661005324,0.01059367834096807
1115,Ato_Substituicao,-10.836524,-18.660069,3.703986167907715,2.0593934059143066,-0.9235734325650334,-0.2974380838854802,-0.355343755396545,1.3349253054066315,0.004731776398519257,0.01056292945825046
1116,Ato_Substituicao,-8.922475,-17.522343,3.635636568069458,1.8033537864685059,-0.5919549296502369,-0.17894515173696815,-0.06313511601168995,1.8998746097923855,0.004722902814055695,0.010934097208370443
1117,Ato_Substituicao,-8.9864235,-17.368631,3.7437973022460938,1.6962953805923462,-0.24057745041546494,-0.08775228460131097,-0.019026425673307458,1.7600352772377408,0.00473325250970118,0.014005020789718858
1118,Ato_Substituicao,-11.525169,-17.877811,4.166836738586426,2.136908769607544,-0.6064718408833303,-0.22945523472661922,0.21462308150926096,-1.4861342835076476,0.004752144548989075,0.022968879321587168
1119,Ato_Substituicao,-12.290744,-17.240484,3.732361316680908,2.5752997398376465,-0.8795285766916524,-0.34521396889998085,-0.030774744261637132,3.5241243948482865,0.004769533647944707,0.03142144567833974
1120,Ato_Substituicao,-10.8693,-18.297314,3.8269760608673096,2.0686848163604736,-0.920645712154621,-0.3142013783996163,-0.5521507762495508,1.0984155236148616,0.004735469402172577,0.010212804261324294
1121,Ato_Substituicao,-10.664091,-18.131983,3.887233018875122,1.9459328651428223,-0.9185059817747485,-0.31520247596512074,-0.45762737832276357,1.1495724319691802,0.004736353749974532,0.010084858340115266
